prices,market_caps,total_volumes,timestamps,date
9226.346948233771,169967683405.0766,19625591729.947636,1593652049115,2020-07-02 01:07:29.115
9241.555845699913,170209071684.42548,19127554252.36272,1593655520466,2020-07-02 02:05:20.466
9240.386446569317,170254327608.5066,17984247631.696526,1593659245128,2020-07-02 03:07:25.128
9237.470372268237,170160956922.19553,18006351716.003567,1593662614955,2020-07-02 04:03:34.955
9233.255795544565,170175531036.93665,19504290519.66152,1593666422125,2020-07-02 05:07:02.125
9212.6836690523,169753944278.2437,19667343418.849415,1593670030472,2020-07-02 06:07:10.472
9211.12953173886,169675159009.15698,19961306875.12476,1593673226186,2020-07-02 07:00:26.186
9210.991296495478,169672962641.30203,20138665587.02723,1593677081866,2020-07-02 08:04:41.866
9214.574938878935,169659157636.78574,18361444598.40025,1593680662926,2020-07-02 09:04:22.926
9212.653505907509,169704152896.70886,17933230370.30843,1593684241725,2020-07-02 10:04:01.725
9205.386699220391,169619645291.68692,19545206090.16762,1593688055415,2020-07-02 11:07:35.415
9195.40401266031,169378027710.97406,19553871146.418354,1593691265296,2020-07-02 12:01:05.296
9240.41812466536,170217276571.90338,19728623905.71236,1593695043801,2020-07-02 13:04:03.801
9250.225934780578,170397884681.71475,18727708842.364975,1593698693555,2020-07-02 14:04:53.555
9212.27864575422,169699034866.84998,17509265250.569687,1593702121001,2020-07-02 15:02:01.001
9063.275763686263,167212938665.06805,17975528281.810238,1593705990410,2020-07-02 16:06:30.410
9046.398120575197,166899994023.9004,18352327145.89861,1593709571563,2020-07-02 17:06:11.563
9078.54123083235,167236488903.75504,18318887919.3546,1593712840734,2020-07-02 18:00:40.734
9066.735587212414,167019351726.42566,18357252447.208187,1593716506941,2020-07-02 19:01:46.941
9045.317457770008,166625258231.0095,18421291680.986187,1593720268766,2020-07-02 20:04:28.766
9090.327185747163,167357340203.33716,18364343688.584797,1593724052909,2020-07-02 21:07:32.909
9134.61821890857,168263670353.66544,20200152290.90017,1593727298990,2020-07-02 22:01:38.990
9104.865529856452,167658835083.28766,19354695458.33069,1593731003387,2020-07-02 23:03:23.387
9086.492349108998,167529230889.35635,18201269837.727787,1593734581565,2020-07-03 00:03:01.565
9102.463007806535,167679993719.9882,19428518441.68205,1593738047192,2020-07-03 01:00:47.192
9116.26223613267,167915120846.3114,17472459971.88882,1593741733428,2020-07-03 02:02:13.428
9100.05049213569,167636407239.91827,17593462287.90779,1593745273309,2020-07-03 03:01:13.309
9097.509441750315,167589933936.37338,17729137675.906647,1593748988172,2020-07-03 04:03:08.172
9097.004334635354,167580856521.67157,18878148811.336544,1593752595946,2020-07-03 05:03:15.946
9114.268024951702,167899108191.87347,19399921008.593468,1593756075191,2020-07-03 06:01:15.191
9100.36140973591,167643217745.59103,19051046337.61469,1593759919527,2020-07-03 07:05:19.527
9104.901074488727,167726294312.44836,16567338500.728888,1593763500299,2020-07-03 08:05:00.299
9105.394642064664,167735828838.6631,17511903999.877316,1593767072878,2020-07-03 09:04:32.878
9087.150004771911,167401260123.30698,17958037532.459984,1593770500658,2020-07-03 10:01:40.658
9076.9141639841,167229741351.25552,17901342524.316498,1593774494950,2020-07-03 11:08:14.950
9100.778197234102,167653170832.71704,17984041390.418438,1593777861861,2020-07-03 12:04:21.861
9110.68990222206,167795086316.6395,17813626724.82077,1593781629869,2020-07-03 13:07:09.869
9100.082304242931,167641088303.0843,17832585078.129917,1593785070481,2020-07-03 14:04:30.481
9089.81614982396,167403575310.62552,17586063084.634975,1593788836418,2020-07-03 15:07:16.418
9103.196573554496,167728700652.74246,18064400766.452503,1593792277278,2020-07-03 16:04:37.278
9099.319429570054,167627890014.52527,17810131226.279015,1593795622221,2020-07-03 17:00:22.221
9093.592802787083,167618291044.79587,17688563118.479794,1593799406572,2020-07-03 18:03:26.572
9082.10906178166,167412271507.85388,16903300510.567333,1593803094675,2020-07-03 19:04:54.675
9090.402949171303,167464648514.83777,17548116740.674625,1593806605169,2020-07-03 20:03:25.169
9089.154341917523,167442219117.673,16632128501.412636,1593810282007,2020-07-03 21:04:42.007
9101.490925169403,167667753706.44904,17485227959.385853,1593813802068,2020-07-03 22:03:22.068
9092.080573476938,167496917751.71674,17339357730.50967,1593817472520,2020-07-03 23:04:32.520
9071.3850427828,167116284671.21997,17420495829.39433,1593820900592,2020-07-04 00:01:40.592
9071.255013804659,167137083028.4655,17168206163.33222,1593824950136,2020-07-04 01:09:10.136
9074.284834258815,167198765559.75027,16732022656.953743,1593828193599,2020-07-04 02:03:13.599
9089.830802678773,167386985824.03183,17400393758.853405,1593832067686,2020-07-04 03:07:47.686
9085.048584112945,167421259464.2883,16940904838.92957,1593835657274,2020-07-04 04:07:37.274
9089.160058859798,167445669247.22864,15662417879.81675,1593839005619,2020-07-04 05:03:25.619
9091.865235854082,167546301391.0567,15315596656.722569,1593842849350,2020-07-04 06:07:29.350
9080.721427455215,167309693495.8119,17103824345.077911,1593846319663,2020-07-04 07:05:19.663
9077.322252239885,167224224095.10278,17021677716.872383,1593849859189,2020-07-04 08:04:19.189
9080.337843301302,167286173945.8517,16936402930.933458,1593853385095,2020-07-04 09:03:05.095
9077.524239304346,167233295548.041,16668932794.74042,1593857080974,2020-07-04 10:04:40.974
9066.355092042468,167006494720.7935,16544926029.787634,1593860549634,2020-07-04 11:02:29.634
9063.164923185386,167064579179.34854,16563568820.167704,1593864353826,2020-07-04 12:05:53.826
9071.80212685047,167128903402.75354,16561893660.898804,1593867866401,2020-07-04 13:04:26.401
9082.804273208581,167332157978.7593,16378354253.054184,1593871303700,2020-07-04 14:01:43.700
9073.082633167633,167150382064.9163,16400458922.01201,1593875021780,2020-07-04 15:03:41.780
9071.351407694436,167049639558.44632,16327673229.15317,1593878715258,2020-07-04 16:05:15.258
9076.634567078565,167217309231.56287,14180496954.517355,1593882182443,2020-07-04 17:03:02.443
9170.128604342059,168942306332.19745,14744196658.72041,1593885924492,2020-07-04 18:05:24.492
9143.740921446431,168365794404.82025,16702680821.303207,1593889461675,2020-07-04 19:04:21.675
9133.110150240487,168203151888.0387,16780609038.72961,1593893253794,2020-07-04 20:07:33.794
9133.152781913559,168262238258.4028,16848512162.944593,1593896579331,2020-07-04 21:02:59.331
9120.379887491461,168028990988.70932,16741188338.321863,1593900161967,2020-07-04 22:02:41.967
9129.102718374972,168188426339.00558,16735613387.60584,1593903690628,2020-07-04 23:01:30.628
9132.908369533492,168258822207.29507,16643732672.692139,1593907296779,2020-07-05 00:01:36.779
9139.559105105734,168437924735.2986,16072495956.490667,1593910967874,2020-07-05 01:02:47.874
9125.925103716274,168130960970.58588,16353772129.629927,1593914441859,2020-07-05 02:00:41.859
9120.522193085211,168031712611.25055,16102065139.403912,1593918103766,2020-07-05 03:01:43.766
9132.511273733498,168252821451.6291,14403129570.187712,1593921664186,2020-07-05 04:01:04.186
9120.785641434608,168059977826.48517,13772664350.419222,1593925442400,2020-07-05 05:04:02.400
9072.729935816431,167422988290.1492,16618059413.798536,1593928867161,2020-07-05 06:01:07.161
9072.929382933691,167155903831.33517,16819569098.39058,1593932545867,2020-07-05 07:02:25.867
9062.146387740571,166957749861.47186,16228847760.966837,1593936054125,2020-07-05 08:00:54.125
9073.879006873374,167174306698.5059,16511025000.72154,1593939767384,2020-07-05 09:02:47.384
9029.036889798768,166348601020.95047,16570997198.914577,1593943265432,2020-07-05 10:01:05.432
9036.619685060163,166488476142.34528,16786978944.354933,1593946985981,2020-07-05 11:03:05.981
9040.81028047896,166566188935.21164,16808910254.311459,1593950554051,2020-07-05 12:02:34.051
9040.234958536515,166555932840.83298,15335988660.51622,1593954005884,2020-07-05 13:00:05.884
9032.162170074826,166407878409.29584,15382551267.931198,1593957841161,2020-07-05 14:04:01.161
9038.648071362884,166527827609.10114,17154424131.516912,1593961395902,2020-07-05 15:03:15.902
9034.636517411638,166454305820.24933,17143327571.318518,1593964962203,2020-07-05 16:02:42.203
9032.78921174377,166420388453.63278,17190765818.86013,1593968488357,2020-07-05 17:01:28.357
9036.934604402022,166497549509.78616,16745275280.365847,1593972199412,2020-07-05 18:03:19.412
9049.761381380109,166734324050.4592,16557539316.812887,1593975682822,2020-07-05 19:01:22.822
9034.501585853935,166453400876.57898,16233916604.499846,1593979237774,2020-07-05 20:00:37.774
9024.701960470084,166273365095.19095,16391473338.051212,1593982951439,2020-07-05 21:02:31.439
9038.705948360484,166593194097.3366,10336069142.358711,1593986547272,2020-07-05 22:02:27.272
9077.799855023124,167252271269.29993,17191545493.353104,1593990110190,2020-07-05 23:01:50.190
9087.407312582163,167429736492.90482,17324463886.377956,1593993764433,2020-07-06 00:02:44.433
9072.632397929054,167157744843.97726,17244545527.116234,1593997333231,2020-07-06 01:02:13.231
9090.137514453123,167467520502.51523,17343482057.76835,1594001018465,2020-07-06 02:03:38.465
9099.716110485522,167657319090.13165,17577291323.416058,1594004614927,2020-07-06 03:03:34.927
9093.94713334379,167549092655.52252,17509791312.62949,1594008177269,2020-07-06 04:02:57.269
9098.984167716044,167644397579.7993,17512889291.84667,1594011670533,2020-07-06 05:01:10.533
9110.531962612024,167857451671.74338,17496619809.576588,1594015339612,2020-07-06 06:02:19.612
9222.855497322733,169916044756.83432,18432216091.45598,1594018859641,2020-07-06 07:00:59.641
9199.232962189117,169492353221.34293,18769028981.845394,1594022606068,2020-07-06 08:03:26.068
9188.114077822951,169253325898.9202,18588155225.003613,1594026295098,2020-07-06 09:04:55.098
9203.18892073191,169499885021.69553,19173503082.339867,1594029864101,2020-07-06 10:04:24.101
9188.209624078876,169289345318.5823,18962684724.50634,1594033257615,2020-07-06 11:00:57.615
9223.129941417073,169918151124.4925,19131286961.08643,1594037092432,2020-07-06 12:04:52.432
9271.35868075696,170824603408.9193,19634185308.58734,1594040525047,2020-07-06 13:02:05.047
9255.783318298792,170536882061.32343,19910736776.649364,1594044163077,2020-07-06 14:02:43.077
9255.217879352771,170526982197.48813,20040265853.2962,1594047664027,2020-07-06 15:01:04.027
9307.094053934527,171479274169.73938,20793223948.723576,1594051441322,2020-07-06 16:04:01.322
9319.711985127211,171730893081.5146,21556967744.387436,1594055089815,2020-07-06 17:04:49.815
9315.003268714438,171651501300.71027,21571652361.18972,1594058528274,2020-07-06 18:02:08.274
