prices,market_caps,total_volumes,timestamps,date
13070.265333486603,242161458349.157,21510216616.679764,1603779176623,2020-10-27 06:12:56.623
13089.646908288987,242520632154.00485,21586837778.012115,1603782192402,2020-10-27 07:03:12.402
13146.275972229188,243569928673.77145,21714497959.11277,1603785693143,2020-10-27 08:01:33.143
13134.355397991472,243388525270.85632,21003819050.6249,1603789440756,2020-10-27 09:04:00.756
13127.207365845763,243217524382.09723,21027411770.99869,1603793609674,2020-10-27 10:13:29.674
13288.878092674911,245760990040.7998,21652208366.737812,1603796848135,2020-10-27 11:07:28.135
13416.61357818527,248579662223.22214,22760733865.57103,1603800033043,2020-10-27 12:00:33.043
13401.345499388188,248297449143.5645,22955783515.466072,1603804273801,2020-10-27 13:11:13.801
13376.988794647325,247846587676.11926,22964350268.119053,1603807368320,2020-10-27 14:02:48.320
13388.182827835139,248182238941.35522,22677302607.463875,1603811380727,2020-10-27 15:09:40.727
13581.760282181356,251617506059.2346,22932220919.844723,1603814821942,2020-10-27 16:07:01.942
13604.616092178549,252065306609.67725,22899854909.87423,1603818252678,2020-10-27 17:04:12.678
13711.61387733789,254048178608.30582,22819311094.411198,1603822404402,2020-10-27 18:13:24.402
13632.83994429852,252423958674.40646,23170725321.139786,1603825784375,2020-10-27 19:09:44.375
13648.696133611407,252986595068.57245,23085830522.94521,1603829243697,2020-10-27 20:07:23.697
13616.009769869015,252333669940.31042,23048579081.665688,1603832758725,2020-10-27 21:05:58.725
13701.309085110715,253858197261.65854,23325824857.88941,1603836250083,2020-10-27 22:04:10.083
13721.379111828659,254230823615.66946,23589429129.640854,1603839858496,2020-10-27 23:04:18.496
13661.076689101967,253114136530.26743,23917543186.57417,1603843893686,2020-10-28 00:11:33.686
13699.981613894211,253835218439.60272,24175542627.916267,1603847064019,2020-10-28 01:04:24.019
13709.939410880366,254020060674.61252,24445045659.92648,1603850502612,2020-10-28 02:01:42.612
13806.246929028044,255815369126.48123,24917195133.819767,1603854169314,2020-10-28 03:02:49.314
13785.946725506648,255429122768.20044,25308368064.41794,1603857716389,2020-10-28 04:01:56.389
13732.476380392645,254438920284.72668,25516686842.12983,1603861316194,2020-10-28 05:01:56.194
13712.070136258053,254061595922.8925,25343400746.575706,1603865643028,2020-10-28 06:14:03.028
13704.687264187472,254050416231.32797,25514145880.7344,1603868713160,2020-10-28 07:05:13.160
13658.471460708346,253068598227.22903,25784506648.956,1603872259528,2020-10-28 08:04:19.528
13685.745466080003,252860366247.9785,26001676832.983845,1603876230004,2020-10-28 09:10:30.004
13569.55250824774,251421757455.00473,25944826777.867336,1603880052471,2020-10-28 10:14:12.471
13543.034538953349,251345839054.31592,25858986660.452137,1603883161845,2020-10-28 11:06:01.845
13339.82642321812,247518678660.01004,25530226626.21031,1603886984269,2020-10-28 12:09:44.269
13256.605969937147,245624440423.3178,26123930484.193474,1603890109782,2020-10-28 13:01:49.782
13104.188910750643,242800636628.12045,26886116188.344513,1603894449033,2020-10-28 14:14:09.033
13058.209579910386,242032847114.72495,27805412314.044224,1603897595829,2020-10-28 15:06:35.829
13219.147887863895,244931060955.17358,28060050023.441776,1603900966767,2020-10-28 16:02:46.767
13138.389834075244,243372973457.4827,27394426515.29306,1603904716634,2020-10-28 17:05:16.634
13212.055438042977,244800229786.55127,27571158286.65222,1603908054769,2020-10-28 18:00:54.769
13225.122035312306,244127817121.0127,27167154836.316906,1603911989283,2020-10-28 19:06:29.283
13161.277076789645,243860696508.85855,27279419866.020668,1603915257536,2020-10-28 20:00:57.536
13175.388161344685,244122485240.40314,27081931712.538223,1603919462644,2020-10-28 21:11:02.644
13197.78646153624,244585137776.99158,27112029352.986652,1603922745359,2020-10-28 22:05:45.359
13249.918460400035,245554237470.05627,27019490902.972664,1603926519721,2020-10-28 23:08:39.721
13270.465640785935,245985431224.88297,26580916687.133995,1603930020310,2020-10-29 00:07:00.310
13252.50195371466,245539721082.63168,26615701858.456257,1603933725728,2020-10-29 01:08:45.728
13252.80020481585,245613153478.36316,26512665639.069492,1603937454653,2020-10-29 02:10:54.653
13247.854189290729,245342652879.9711,26295052990.705856,1603940639293,2020-10-29 03:03:59.293
13258.813492882715,245594402146.6811,25874576848.333225,1603944479616,2020-10-29 04:07:59.616
13248.510667370672,245480660517.4111,25773915589.689194,1603947680494,2020-10-29 05:01:20.494
13279.116915364053,246005813046.24707,25581290153.503452,1603951609463,2020-10-29 06:06:49.463
13258.061563958558,245884708157.36096,25591180261.912514,1603954976254,2020-10-29 07:02:56.254
13147.660229681958,243613325087.28278,24995502539.287685,1603958667962,2020-10-29 08:04:27.962
13143.406595796276,243550110134.0448,24846254258.05002,1603962826888,2020-10-29 09:13:46.888
13180.137024544068,244215655177.09476,24858846682.029667,1603965903880,2020-10-29 10:05:03.880
13098.386905641913,242701150534.29974,24453102445.414577,1603969361808,2020-10-29 11:02:41.808
13055.12586211977,242041327066.25052,23484585579.90291,1603973167809,2020-10-29 12:06:07.809
13121.747435095365,243135243205.86066,23117466367.566696,1603976612052,2020-10-29 13:03:32.052
13259.811273666362,245693032061.45505,22938169004.929928,1603980780190,2020-10-29 14:13:00.190
13423.047237102934,248659868201.57584,22261425349.68272,1603984311306,2020-10-29 15:11:51.306
13434.259703432364,248513598898.88214,22301284183.123337,1603987770521,2020-10-29 16:09:30.521
13539.396087821735,250817747422.54483,22648198386.314655,1603991380272,2020-10-29 17:09:40.272
13554.693734828135,252051409622.80994,22582856338.24927,1603995418662,2020-10-29 18:16:58.662
13555.45530324557,251172840396.77737,22692865906.35503,1603998690660,2020-10-29 19:11:30.660
13519.995011441591,250515867805.56952,22659992536.816566,1604001768994,2020-10-29 20:02:48.994
13471.539875324821,249618540600.35306,22778177238.006813,1604005422607,2020-10-29 21:03:42.607
13470.994635436216,249608855274.08792,22817053171.14803,1604009592936,2020-10-29 22:13:12.936
13407.18348644735,248426810957.2913,22795661847.225403,1604012668183,2020-10-29 23:04:28.183
13448.37590525623,249070104706.91006,22770674630.47421,1604016395833,2020-10-30 00:06:35.833
13578.2116842575,251777094693.6255,23405809637.266758,1604019982857,2020-10-30 01:06:22.857
13559.24822474504,251245656084.47003,23553208352.20689,1604024084311,2020-10-30 02:14:44.311
