prices,market_caps,total_volumes,timestamps,date
6368.365357095569,116436485633.85861,45395272875.29532,1584997462376,2020-03-23 21:04:22.376
6396.351654225987,116465124733.86351,45558651269.57226,1585001265113,2020-03-23 22:07:45.113
6369.187973174815,116452640604.53502,45070282128.14232,1585004580992,2020-03-23 23:03:00.992
6456.347485963419,118046727572.5451,45578824447.64577,1585008291697,2020-03-24 00:04:51.697
6546.114172697268,119711136572.4759,46461392204.52179,1585011943325,2020-03-24 01:05:43.325
6495.9979201344495,119188424775.83127,46426911779.749275,1585015514769,2020-03-24 02:05:14.769
6574.454254317885,120207400479.39926,45165781446.60234,1585019068068,2020-03-24 03:04:28.068
6551.567639777311,119789432712.07301,44920731892.5038,1585022702346,2020-03-24 04:05:02.346
6388.926398390181,116816165274.24261,46252921579.15524,1585026177707,2020-03-24 05:02:57.707
6459.777240682464,118111859024.0863,44838113242.91662,1585029829689,2020-03-24 06:03:49.689
6567.269969894725,120077520572.53801,47813732742.53289,1585033472857,2020-03-24 07:04:32.857
6514.462556534593,119112303034.43222,47775118800.74278,1585037077107,2020-03-24 08:04:37.107
6722.982061234527,122488565443.31717,48446037570.25825,1585040862315,2020-03-24 09:07:42.315
6704.747832371672,123106207390.47047,51141106855.31445,1585044551127,2020-03-24 10:09:11.127
6662.079998917604,121812801740.20892,51561433501.4268,1585047778846,2020-03-24 11:02:58.846
6706.150964601861,122619455581.1333,51852819707.7129,1585051527652,2020-03-24 12:05:27.652
6658.585560491062,120941740280.20149,47446233066.953064,1585055265615,2020-03-24 13:07:45.615
6690.617494881938,121785820352.8727,47892230335.44248,1585058683056,2020-03-24 14:04:43.056
6607.4889223281525,120817188298.52205,46778271200.94255,1585062177497,2020-03-24 15:02:57.497
6584.728491519928,120401266612.80502,47297188212.627365,1585065911434,2020-03-24 16:05:11.434
6601.354517009709,120647703671.5767,46964418880.65858,1585069641002,2020-03-24 17:07:21.002
6632.33672514011,121272442827.60504,44254665056.36482,1585072976687,2020-03-24 18:02:56.687
6641.221212519235,121435227962.50516,46625541579.926094,1585076639192,2020-03-24 19:03:59.192
6651.9133391184905,121631479313.57602,46664150575.24417,1585080176487,2020-03-24 20:02:56.487
6733.703177689074,122871834487.09135,45788395661.8197,1585084039127,2020-03-24 21:07:19.127
6692.2542755537725,121531696128.27187,46990667296.98937,1585087569965,2020-03-24 22:06:09.965
6754.106279538288,123452882953.37663,47320638988.73598,1585090834371,2020-03-24 23:00:34.371
6730.173782371188,123064256188.85924,45846522059.373184,1585094686115,2020-03-25 00:04:46.115
6712.420801399965,122113195239.57169,45000988166.984344,1585098142670,2020-03-25 01:02:22.670
